product_name,brand,category,ingredients,size,image_url,product_url
"Pyunkang Yul – Kids & Baby Wash, Sweet Orange, 590ml",Pyunkang,Cleanser,"Sweet Orange Extract – provides a fresh, uplifting natural fragrance while offering mild antioxidant benefits. Centella Asiatica (Cica) – calms irritation, reduces redness, and supports a healthy skin barrier. Hyaluronic Acid – hydrates deeply to keep delicate skin soft and moisturized. Panthenol (Vitamin B5) – soothes, protects, and enhances moisture retention. Mild Plant-Based Cleansing Agents – gently remove impurities without stripping natural moisture.",590ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/pyunkang-yul-kids-baby-wash-sweet-orange-590ml/
"Pyunkang Yul – Kids & Baby Lotion, Sweet Orange, 590ml",Pyunkang,Lotion,"Sweet Orange Extract – offers a fresh, cheerful natural fragrance while providing mild antioxidant benefits. Centella Asiatica (Cica) – calms irritation, reduces redness, and helps strengthen the skin barrier. Hyaluronic Acid – delivers long-lasting hydration and helps maintain soft, supple skin. Panthenol (Vitamin B5) – soothes sensitive skin and supports moisture retention. Shea Butter – nourishes deeply and helps prevent dryness by reinforcing the skin’s protective barrier. Lightweight, Child-Friendly Lotion Base – absorbs quickly without stickiness, ideal for daily use.",590ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/pyunkang-yul-kids-baby-lotion-sweet-orange-590ml/
"Pyunkang Yul – Kids & Baby Face Lotion Sweet Orange, 200ml",Pyunkang,Lotion,"Sweet Orange Extract – offers a fresh, cheerful natural fragrance with mild antioxidant benefits. Centella Asiatica (Cica) – calms irritation, reduces redness, and supports a strong, healthy skin barrier. Hyaluronic Acid – replenishes moisture and keeps the skin soft, plump, and well-hydrated. Panthenol (Vitamin B5) – soothes and protects sensitive skin while supporting moisture retention. Shea Butter – nourishes deeply and helps prevent dryness. Lightweight Face Lotion Base – absorbs quickly without greasiness, ideal for daily facial use on delicate skin.",200ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/pyunkang-yul-kids-baby-face-lotion-sweet-orange-200ml/
"Pyunkang Yul – Skin Barrier Professional Hand Cream, 50ml",Pyunkang,Moisturizer,"Ceramides – strengthen the skin barrier, lock in moisture, and protect against external irritants. Shea Butter – deeply nourishes and softens dry, rough hands. Panthenol (Vitamin B5) – soothes irritation, enhances hydration, and promotes healthy skin recovery. Centella Asiatica (Cica) – calms sensitivity and supports a healthier skin barrier. Rich, Non-Greasy Cream Base – absorbs quickly while providing lasting comfort and protection.",50ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/pyunkang-yul-skin-barrier-professional-hand-cream-50ml/
"Pyunkang Yul – Intensive Ceramide Lotion, 290ml",Pyunkang,Lotion,"Ceramides – reinforce the skin barrier, prevent moisture loss, and improve overall resilience. Hyaluronic Acid – provides deep hydration and helps maintain a plump, moisturized feel. Panthenol (Vitamin B5) – soothes irritation, hydrates, and supports skin repair. Shea Butter – nourishes and softens the skin while enhancing moisture retention. Lightweight Nourishing Lotion Base – absorbs quickly without greasiness, suitable for daily full-body use.",290ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/pyunkang-yul-intensive-ceramide-lotion-290ml/
"Farmstay – Visible Difference Hand Cream Olive, 100ml",Farmstay,Moisturizer,"Olive Extract – rich in antioxidants and fatty acids that deeply nourish, soften, and protect the skin. Shea Butter & Natural Emollients – lock in moisture and help restore smoothness. Hydrating Ingredients (Glycerin, Panthenol) – boost hydration and prevent dryness throughout the day. Light Cream Texture – absorbs quickly without sticky residue.",100ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/farm-stay-visible-difference-hand-cream-olive-100ml/
"Masil – 7 Ceramide Perfume Shower Gel Sweet Love, 300ml",Masil,Shower Gel,"7-Ceramide Complex – reinforces the skin barrier, improves moisture retention, and protects against dryness. Hydrating Ingredients (Hyaluronic Acid, Glycerin) – deliver long-lasting moisture for smooth, supple skin. Botanical Extracts – soothe, nourish, and help maintain overall skin comfort. Mild Cleansing Surfactants – create a rich, creamy lather that cleanses effectively without stripping natural oils. Sweet Love Perfume – a warm, sweet floral fragrance that lingers gently on the skin.",300ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/masil-7-ceramide-perfume-shower-gel-300ml-sweet-love-300ml/
"KUNDAL – Honey & Macadamia Pure Body Wash, Amber Vanilla, 500ml",KUNDAL,Cleanser,"Honey Extract – deeply hydrates, soothes, and improves skin softness. Macadamia Seed Oil – rich in essential fatty acids that nourish and support the skin barrier. Botanical Extracts – provide additional soothing and antioxidant care. Moisturizing Agents (Glycerin, natural humectants) – help retain moisture and prevent dryness. Gentle Cleansing Surfactants – create a soft, creamy lather that cleanses without stripping.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-wash-amber-vanilla-500ml/
"KUNDAL – Honey & Macadamia Pure Body Wash, Baby Powder, 500ml",KUNDAL,Cleanser,"Honey Extract – moisturizes deeply, soothes dryness, and enhances skin softness. Macadamia Seed Oil – rich in fatty acids that nourish, protect, and support the skin barrier. Botanical Extracts – add soothing, antioxidant benefits for healthier-looking skin. Hydrating Ingredients (Glycerin & Humectants) – help retain moisture to prevent dryness after showering. Mild Cleansing Surfactants – produce a soft, creamy foam that cleanses without irritation.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-wash-baby-powder-500ml/
"KUNDAL – Honey & Macadamia Pure Body Wash, Cherry Blossom, 500ml",KUNDAL,Cleanser,"Honey Extract – deeply moisturizes, soothes dryness, and enhances skin softness. Macadamia Seed Oil – rich in essential fatty acids that nourish the skin and support the moisture barrier. Botanical Extracts – offer soothing and antioxidant benefits for healthier-looking skin. Moisture-Retaining Ingredients (Glycerin & Humectants) – help maintain hydration and prevent post-wash tightness. Gentle Cleansing Surfactants – create a creamy, soft foam that cleans effectively without stripping natural oils.",500ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/kundal-honey-macadamia-pure-body-wash-cherry-blossom-500ml/
